24
34
01 small yellow circle  495.59 336.59 
02 small blue square  634.54 369.54 
03 large purple triangle  101.85 268.85 
04 large green semi-circle  993.26 652.26 
05 large red triangle  401.85 719.85 
06 medium red semi-circle  379.14 992.14 
07 large purple square  1209.38 213.38 
08 medium green semi-circle  77.14 596.14 
09 small purple circle  745.59 189.59 
10 large blue cross  1060.10 830.10 
11 medium purple square  957.07 1103.07 
12 medium blue cross  1404.62 95.62 
13 large green circle  1241.56 530.56 
14 medium yellow cross  1074.62 496.62 
15 medium purple cross  1164.62 394.62 
16 small yellow circle  434.59 536.59 
17 small red square  1320.54 442.54 
18 medium yellow semi-circle  1475.14 478.14 
19 medium blue circle  862.17 188.17 
20 small red cross  700.32 715.32 
21 large yellow cross  1372.10 1099.10 
22 small green semi-circle  161.08 68.08 
23 small red circle  39.59 935.59 
24 medium green cross  258.62 374.62 
25 small green cross  1557.32 80.32 
26 medium red square  1526.07 1085.07 
27 small green circle  998.59 355.59 
28 small green square  67.54 87.54 
29 medium red cross  481.62 78.62 
30 small red semi-circle  897.08 774.08 
31 large yellow circle  417.56 392.56 
32 large red cross  600.10 639.10 
33 small purple triangle  813.24 1054.24 
34 small green triangle  538.24 379.24 
35 medium green square  509.07 1129.07 
36 large purple semi-circle  542.26 906.26 
37 small purple cross  36.32 1145.32 
38 small blue circle  907.59 96.59 
39 large yellow semi-circle  1122.26 1065.26 
40 medium blue semi-circle  1489.14 189.14 
41 medium yellow square  1266.07 61.07 
42 small red triangle  859.24 566.24 
43 large green triangle  893.85 925.85 
44 large green cross  692.10 1105.10 
45 medium yellow circle  616.17 480.17 
46 small blue cross  323.32 58.32 
47 large blue semi-circle  601.26 222.26 
48 medium green triangle  92.47 450.47 
49 small purple square  577.54 70.54 
50 large purple circle  1350.56 298.56 
51 medium blue triangle  98.47 766.47 
52 large red semi-circle  174.26 1002.26 
53 medium red circle  950.17 469.17 
54 small purple semi-circle  1495.08 334.08 
55 large blue circle  244.56 831.56 
56 large red square  767.38 342.38 
57 large blue triangle  267.85 540.85 
58 small yellow triangle  904.24 372.24 
59 large yellow triangle  1454.85 912.85 
60 medium purple triangle  717.47 944.47 
61 medium blue square  384.07 1125.07 
62 large blue square  1050.38 85.38 
63 small yellow semi-circle  817.08 734.08 
64 large purple cross  265.10 170.10 
65 large red circle  1473.56 659.56 
66 small blue semi-circle  1548.08 789.08 
67 large green square  1234.38 866.38 
68 medium purple circle  769.17 608.17 
69 small yellow cross  224.32 715.32 
70 medium yellow triangle  425.47 220.47 
71 medium red triangle  741.47 71.47 
72 small yellow square  814.54 1160.54 
73 small blue triangle  802.24 481.24 
74 large yellow square  1286.38 695.38 
75 medium green circle  745.17 821.17 

96
74
01 large blue semi-circle  666.26 1023.26 
02 small purple cross  339.32 1152.32 
03 small red square  657.54 147.54 
04 medium green triangle  1359.47 1132.47 
05 small green circle  320.59 826.59 
06 small green triangle  1248.24 1152.24 
07 small green cross  1221.32 39.32 
08 small yellow square  402.54 37.54 
09 large purple square  1036.38 378.38 
10 small purple square  44.54 1026.54 
11 small yellow triangle  951.24 1151.24 
12 small red circle  1109.59 627.59 
13 large blue circle  1090.56 113.56 
14 small green square  1083.54 974.54 
15 large green semi-circle  313.26 986.26 
16 medium yellow square  565.07 641.07 
17 medium blue semi-circle  926.14 794.14 
18 large purple semi-circle  260.26 283.26 
19 large blue square  148.38 801.38 
20 medium blue circle  598.17 49.17 
21 small purple semi-circle  797.08 592.08 
22 large yellow cross  401.10 647.10 
23 small blue semi-circle  1127.08 247.08 
24 large red circle  1464.56 927.56 
25 medium yellow cross  280.62 739.62 
26 large green triangle  1462.85 184.85 
27 medium red square  755.07 62.07 
28 small yellow circle  249.59 648.59 
29 medium red semi-circle  135.14 1095.14 
30 medium purple semi-circle  1527.14 792.14 
31 medium green cross  130.62 119.62 
32 medium blue cross  1541.62 1128.62 
33 medium yellow triangle  1438.47 549.47 
34 medium purple cross  850.62 449.62 
35 medium red circle  1136.17 1110.17 
36 large yellow semi-circle  959.26 611.26 
37 medium green semi-circle  1229.14 199.14 
38 small red cross  784.32 934.32 
39 small blue triangle  241.24 95.24 
40 small red semi-circle  119.08 958.08 
41 large red square  267.38 500.38 
42 small red triangle  1109.24 494.24 
43 large yellow circle  1523.56 429.56 
44 medium blue square  90.07 441.07 
45 large yellow triangle  486.85 443.85 
46 small yellow cross  38.32 1146.32 
47 large yellow square  1267.38 420.38 
48 medium blue triangle  497.47 1121.47 
49 large green cross  545.10 252.10 
50 medium red cross  1319.62 73.62 
51 large purple circle  895.56 151.56 
52 large green square  1249.38 605.38 
53 small yellow semi-circle  855.08 331.08 
54 medium yellow circle  756.17 187.17 
55 large blue triangle  1229.85 971.85 
56 small purple circle  254.59 1128.59 
57 large purple cross  1389.10 725.10 
58 large green circle  678.56 529.56 
59 medium green square  360.07 129.07 
60 small blue circle  1316.59 270.59 
61 medium purple square  1534.07 664.07 
62 large purple triangle  101.85 612.85 
63 medium yellow semi-circle  76.14 261.14 
64 small blue cross  1383.32 350.32 
65 large blue cross  917.10 959.10 
66 large red cross  1099.10 799.10 
67 medium green circle  1262.17 819.17 
68 small blue square  1558.54 562.54 
69 small purple triangle  512.24 973.24 
70 small green semi-circle  1043.08 1142.08 
71 large red semi-circle  493.26 824.26 
72 medium purple triangle  736.47 346.47 
73 medium red triangle  841.47 1108.47 
74 large red triangle  705.85 779.85 
75 medium purple circle  495.17 106.17 

97
67
01 large purple semi-circle  854.26 430.26 
02 large blue triangle  1193.85 677.85 
03 large purple triangle  369.85 690.85 
04 small blue square  43.54 770.54 
05 medium red cross  1321.62 1100.62 
06 small red cross  747.32 33.32 
07 large blue cross  433.10 149.10 
08 large yellow square  1348.38 404.38 
09 medium yellow square  963.07 764.07 
10 medium purple semi-circle  1211.14 247.14 
11 large red triangle  468.85 459.85 
12 large blue square  1406.38 724.38 
13 medium blue cross  538.62 283.62 
14 large purple square  815.38 868.38 
15 medium blue triangle  93.47 643.47 
16 small green triangle  249.24 910.24 
17 medium purple triangle  126.47 81.47 
18 large blue circle  170.56 1072.56 
19 large red semi-circle  1239.26 930.26 
20 small red triangle  864.24 48.24 
21 small purple cross  57.32 1108.32 
22 small blue triangle  1041.24 694.24 
23 medium red triangle  1375.47 208.47 
24 medium green semi-circle  1498.14 301.14 
25 large green circle  598.56 929.56 
26 small red circle  849.59 1005.59 
27 medium green square  349.07 859.07 
28 small yellow cross  1216.32 502.32 
29 small blue semi-circle  1129.08 47.08 
30 large red circle  183.56 799.56 
31 medium yellow circle  1107.17 168.17 
32 small blue cross  865.32 247.32 
33 medium blue circle  1075.17 313.17 
34 medium red circle  816.17 148.17 
35 small yellow square  202.54 686.54 
36 medium yellow semi-circle  1467.14 886.14 
37 medium green triangle  771.47 594.47 
38 small green square  1351.54 543.54 
39 small green circle  635.59 380.59 
40 small purple semi-circle  237.08 39.08 
41 large green triangle  1006.85 1020.85 
42 medium yellow triangle  87.47 943.47 
43 small yellow circle  1560.59 808.59 
44 large green semi-circle  110.26 274.26 
45 medium purple circle  868.17 1141.17 
46 large green cross  1096.10 458.10 
47 large purple cross  669.10 150.10 
48 medium red semi-circle  1531.14 119.14 
49 medium purple square  470.07 886.07 
50 small purple square  1092.54 833.54 
51 medium green circle  705.17 285.17 
52 small purple triangle  848.24 711.24 
53 medium purple cross  240.62 148.62 
54 large blue semi-circle  378.26 1031.26 
55 large yellow circle  661.56 496.56 
56 small yellow triangle  339.24 55.24 
57 small green cross  1226.32 1119.32 
58 medium blue semi-circle  940.14 625.14 
59 medium blue square  74.07 442.07 
60 large green square  1464.38 1065.38 
61 large yellow semi-circle  632.26 746.26 
62 small blue circle  273.59 1165.59 
63 small green semi-circle  565.08 41.08 
64 small yellow semi-circle  589.08 600.08 
65 large purple circle  1296.56 85.56 
66 small purple circle  1550.59 1163.59 
67 large yellow triangle  235.85 488.85 
68 small red semi-circle  1542.08 711.08 
69 large yellow cross  962.10 155.10 
70 large red cross  713.10 1061.10 
71 large red square  1499.38 505.38 
72 medium red square  1121.07 1142.07 
73 small red square  1040.54 36.54 
74 medium yellow cross  537.62 1136.62 
75 medium green cross  333.62 321.62 

98
2
01 medium red cross  1536.62 137.62 
02 small blue square  670.54 1145.54 
03 medium green cross  270.62 636.62 
04 small green square  1276.54 850.54 
05 large green semi-circle  1316.26 609.26 
06 large yellow triangle  791.85 815.85 
07 medium yellow square  457.07 184.07 
08 medium blue cross  865.62 228.62 
09 medium yellow cross  1547.62 700.62 
10 large green cross  1033.10 574.10 
11 large green triangle  377.85 935.85 
12 large red square  988.38 944.38 
13 large yellow semi-circle  678.26 194.26 
14 medium blue circle  1080.17 1148.17 
15 large blue circle  177.56 784.56 
16 large red cross  625.10 966.10 
17 medium purple triangle  1192.47 1102.47 
18 medium yellow semi-circle  327.14 486.14 
19 small blue triangle  1421.24 491.24 
20 large red semi-circle  318.26 278.26 
21 medium blue triangle  639.47 408.47 
22 large purple triangle  1148.85 402.85 
23 small yellow triangle  1168.24 590.24 
24 small yellow cross  887.32 560.32 
25 small purple circle  1358.59 439.59 
26 medium green circle  436.17 1083.17 
27 large green circle  1166.56 943.56 
28 medium purple cross  1353.62 783.62 
29 medium purple square  180.07 55.07 
30 small purple triangle  933.24 1110.24 
31 large green square  641.38 599.38 
32 small red triangle  722.24 44.24 
33 large red triangle  1384.85 1082.85 
34 large yellow square  130.38 235.38 
35 large purple circle  493.56 460.56 
36 large blue semi-circle  145.26 968.26 
37 large yellow cross  1369.10 106.10 
38 small red cross  1556.32 286.32 
39 small yellow semi-circle  1474.08 778.08 
40 medium red square  373.07 93.07 
41 small blue cross  1002.32 421.32 
42 medium red circle  1039.17 805.17 
43 medium red semi-circle  1434.14 258.14 
44 small yellow circle  599.59 49.59 
45 small green circle  46.59 833.59 
46 small purple square  485.54 45.54 
47 large yellow circle  600.56 799.56 
48 small red semi-circle  102.08 1136.08 
49 large blue square  799.38 1101.38 
50 large purple cross  1486.10 910.10 
51 medium blue semi-circle  1187.14 742.14 
52 large purple semi-circle  1147.26 161.26 
53 small green semi-circle  61.08 410.08 
54 medium green semi-circle  1010.14 278.14 
55 medium purple semi-circle  837.14 63.14 
56 small green cross  86.32 671.32 
57 small red circle  249.59 1116.59 
58 large purple square  113.38 540.38 
59 medium green square  931.07 702.07 
60 small blue semi-circle  543.08 1113.08 
61 medium red triangle  196.47 403.47 
62 medium purple circle  1343.17 339.17 
63 medium blue square  491.07 303.07 
64 medium green triangle  977.47 82.47 
65 small red square  1433.54 704.54 
66 small blue circle  1227.59 36.59 
67 small purple semi-circle  1356.08 896.08 
68 medium yellow circle  783.17 529.17 
69 large blue triangle  448.85 698.85 
70 large red circle  1524.56 420.56 
71 small green triangle  1556.24 1150.24 
72 large blue cross  856.10 398.10 
73 medium yellow triangle  1490.47 586.47 
74 small purple cross  1315.32 250.32 
75 small yellow square  278.54 130.54 

99
53
01 large red triangle  1426.85 169.85 
02 medium yellow triangle  902.47 941.47 
03 small yellow cross  1003.32 837.32 
04 large purple triangle  993.85 508.85 
05 medium red cross  430.62 376.62 
06 small red square  431.54 1104.54 
07 small red circle  815.59 62.59 
08 large blue square  342.38 930.38 
09 medium red circle  525.17 540.17 
10 medium blue triangle  983.47 322.47 
11 large purple cross  440.10 136.10 
12 small purple semi-circle  850.08 624.08 
13 medium yellow cross  1314.62 295.62 
14 large purple circle  960.56 719.56 
15 small purple cross  1224.32 816.32 
16 medium blue cross  1300.62 524.62 
17 small green square  332.54 357.54 
18 small green triangle  1387.24 752.24 
19 small blue cross  249.32 1041.32 
20 medium green square  128.07 636.07 
21 medium blue square  1131.07 769.07 
22 large blue cross  842.10 1091.10 
23 small yellow circle  650.59 1113.59 
24 small purple circle  220.59 1131.59 
25 small blue square  88.54 1161.54 
26 large yellow circle  605.56 304.56 
27 large blue triangle  180.85 371.85 
28 medium blue circle  987.17 1067.17 
29 medium purple cross  192.62 58.62 
30 medium red square  501.07 1004.07 
31 large red cross  104.10 779.10 
32 large yellow square  463.38 792.38 
33 small red cross  448.32 260.32 
34 large yellow cross  331.10 520.10 
35 small red triangle  1096.24 637.24 
36 medium green cross  327.62 1129.62 
37 medium green semi-circle  1459.14 365.14 
38 large purple square  1275.38 680.38 
39 small purple triangle  319.24 68.24 
40 small green cross  1286.32 390.32 
41 small red semi-circle  85.08 509.08 
42 large green square  797.38 803.38 
43 medium red triangle  1166.47 528.47 
44 small green circle  671.59 47.59 
45 medium purple circle  66.17 105.17 
46 small yellow triangle  199.24 540.24 
47 large purple semi-circle  778.26 246.26 
48 large red semi-circle  1152.26 1097.26 
49 large red square  1437.38 1073.38 
50 large blue circle  161.56 187.56 
51 large green semi-circle  662.26 961.26 
52 medium purple square  1317.07 916.07 
53 medium yellow square  558.07 1138.07 
54 large green circle  1168.56 260.56 
55 small blue triangle  841.24 384.24 
56 small green semi-circle  547.08 435.08 
57 medium yellow semi-circle  615.14 140.14 
58 small yellow semi-circle  210.08 885.08 
59 medium yellow circle  1130.17 405.17 
60 small blue semi-circle  41.08 215.08 
61 small purple square  1314.54 816.54 
62 medium blue semi-circle  1511.14 675.14 
63 small yellow square  1539.54 272.54 
64 medium green triangle  1183.47 923.47 
65 large yellow semi-circle  973.26 126.26 
66 medium purple semi-circle  321.14 711.14 
67 medium purple triangle  331.47 248.47 
68 medium red semi-circle  1228.14 110.14 
69 large green cross  94.10 1002.10 
70 large red circle  1453.56 538.56 
71 large blue semi-circle  1499.26 879.26 
72 large green triangle  710.85 462.85 
73 large yellow triangle  625.85 678.85 
74 small blue circle  35.59 371.59 
75 medium green circle  1044.17 926.17 

100
59
01 small green semi-circle  1146.08 290.08 
02 small purple semi-circle  628.08 53.08 
03 medium purple cross  698.62 633.62 
04 small purple circle  99.59 496.59 
05 small yellow square  281.54 998.54 
06 large red circle  620.56 758.56 
07 medium red triangle  824.47 331.47 
08 small green triangle  1240.24 281.24 
09 medium purple square  1202.07 385.07 
10 large green cross  1314.10 588.10 
11 small blue triangle  1020.24 561.24 
12 medium blue triangle  92.47 1096.47 
13 small blue circle  360.59 616.59 
14 small green cross  667.32 1141.32 
15 medium blue cross  333.62 494.62 
16 large green triangle  207.85 602.85 
17 small blue square  1170.54 1049.54 
18 small blue semi-circle  1527.08 886.08 
19 small green square  218.54 1048.54 
20 large red semi-circle  1369.26 955.26 
21 large blue cross  619.10 926.10 
22 large green circle  1474.56 546.56 
23 large blue semi-circle  889.26 1008.26 
24 medium blue circle  437.17 740.17 
25 large red cross  1387.10 405.10 
26 medium green square  312.07 730.07 
27 large blue square  345.38 881.38 
28 large purple circle  1275.56 105.56 
29 medium purple semi-circle  1473.14 67.14 
30 small red triangle  583.24 621.24 
31 medium red cross  1139.62 1146.62 
32 small purple square  368.54 95.54 
33 small red square  1482.54 1163.54 
34 small red semi-circle  1042.08 1106.08 
35 large green semi-circle  1009.26 372.26 
36 large yellow circle  463.56 543.56 
37 large purple semi-circle  1182.26 725.26 
38 medium green triangle  1530.47 1035.47 
39 small purple cross  512.32 826.32 
40 large purple square  121.38 911.38 
41 small blue cross  364.32 254.32 
42 medium yellow circle  696.17 289.17 
43 large purple triangle  852.85 791.85 
44 large purple cross  165.10 389.10 
45 medium yellow triangle  1523.47 321.47 
46 small red cross  1325.32 721.32 
47 large yellow square  848.38 519.38 
48 large green square  1069.38 938.38 
49 large yellow cross  1392.10 219.10 
50 large red triangle  1473.85 739.85 
51 large red square  111.38 194.38 
52 large blue triangle  797.85 154.85 
53 medium red square  1010.07 69.07 
54 medium purple circle  289.17 327.17 
55 small red circle  1514.59 203.59 
56 medium red semi-circle  321.14 1116.14 
57 medium yellow cross  710.62 1034.62 
58 medium red circle  961.17 179.17 
59 medium blue semi-circle  1102.14 158.14 
60 large blue circle  637.56 506.56 
61 large yellow semi-circle  500.26 1094.26 
62 medium yellow semi-circle  108.14 746.14 
63 medium green cross  570.62 383.62 
64 medium green semi-circle  1161.14 549.14 
65 medium blue square  254.07 127.07 
66 small purple triangle  277.24 230.24 
67 large yellow triangle  505.85 175.85 
68 small green circle  1556.59 440.59 
69 small yellow cross  687.32 381.32 
70 medium purple triangle  435.47 402.47 
71 medium yellow square  1330.07 1124.07 
72 small yellow circle  923.59 258.59 
73 small yellow triangle  1232.24 883.24 
74 small yellow semi-circle  118.08 51.08 
75 medium green circle  987.17 664.17 

101
25
01 large purple cross  631.10 869.10 
02 medium purple cross  1536.62 175.62 
03 small yellow square  1197.54 622.54 
04 large purple semi-circle  1121.26 498.26 
05 large yellow square  160.38 675.38 
06 large blue cross  262.10 359.10 
07 small yellow cross  989.32 685.32 
08 small green square  729.54 956.54 
09 medium purple semi-circle  986.14 1064.14 
10 medium purple triangle  1296.47 439.47 
11 medium red circle  514.17 943.17 
12 medium green cross  72.62 1015.62 
13 large yellow semi-circle  1469.26 623.26 
14 small blue cross  516.32 554.32 
15 large green semi-circle  445.26 722.26 
16 medium yellow circle  97.17 528.17 
17 medium purple square  655.07 298.07 
18 small red square  56.54 83.54 
19 large red triangle  1120.85 288.85 
20 large red cross  853.10 971.10 
21 medium blue triangle  240.47 528.47 
22 large purple square  1161.38 87.38 
23 medium green triangle  447.47 239.47 
24 medium red semi-circle  1137.14 716.14 
25 small red circle  34.59 599.59 
26 small red cross  835.32 399.32 
27 medium blue square  763.07 1083.07 
28 small blue triangle  1314.24 574.24 
29 medium yellow square  1515.07 988.07 
30 large green circle  169.56 1128.56 
31 small yellow triangle  193.24 43.24 
32 large yellow triangle  307.85 969.85 
33 small green semi-circle  1478.08 292.08 
34 large blue square  134.38 875.38 
35 small purple semi-circle  825.08 727.08 
36 small yellow semi-circle  1250.08 1122.08 
37 medium blue circle  452.17 64.17 
38 large purple circle  1131.56 1076.56 
39 large green cross  260.10 178.10 
40 medium blue semi-circle  1091.14 884.14 
41 small purple circle  443.59 880.59 
42 large yellow cross  951.10 816.10 
43 medium red triangle  616.47 681.47 
44 large yellow circle  1315.56 744.56 
45 small blue semi-circle  996.08 50.08 
46 large purple triangle  865.85 542.85 
47 medium green semi-circle  1449.14 403.14 
48 small purple triangle  760.24 878.24 
49 medium yellow cross  91.62 389.62 
50 medium yellow semi-circle  376.14 563.14 
51 large green triangle  1346.85 927.85 
52 small yellow circle  307.59 1143.59 
53 large red semi-circle  861.26 242.26 
54 large blue semi-circle  1327.26 233.26 
55 large green square  639.38 517.38 
56 small green cross  742.32 782.32 
57 small purple square  961.54 394.54 
58 small green triangle  42.24 1118.24 
59 medium purple circle  1462.17 48.17 
60 small red triangle  581.24 1160.24 
61 small blue circle  1368.59 67.59 
62 large blue circle  86.56 196.56 
63 large red square  485.38 392.38 
64 medium green square  276.07 802.07 
65 large red circle  464.56 1085.56 
66 small green circle  1546.59 442.59 
67 medium red square  618.07 1062.07 
68 medium yellow triangle  1512.47 812.47 
69 small purple cross  1213.32 851.32 
70 small red semi-circle  1176.08 963.08 
71 large blue triangle  635.85 126.85 
72 medium red cross  866.62 78.62 
73 medium blue cross  1462.62 1103.62 
74 small blue square  872.54 1113.54 
75 medium green circle  734.17 393.17 

102
43
01 medium blue cross  807.62 357.62 
02 large blue semi-circle  1464.26 647.26 
03 medium green cross  584.62 218.62 
04 small yellow circle  1195.59 998.59 
05 medium yellow cross  519.62 540.62 
06 large purple semi-circle  170.26 653.26 
07 large blue cross  1097.10 270.10 
08 large yellow semi-circle  850.26 554.26 
09 medium purple square  1202.07 76.07 
10 large red circle  280.56 282.56 
11 large red semi-circle  1330.26 322.26 
12 large blue circle  89.56 815.56 
13 large green circle  1435.56 134.56 
14 large yellow cross  986.10 696.10 
15 small blue semi-circle  392.08 357.08 
16 large yellow triangle  273.85 1078.85 
17 medium green circle  332.17 104.17 
18 small purple circle  999.59 545.59 
19 medium purple triangle  307.47 490.47 
20 small red cross  1392.32 508.32 
21 large green cross  683.10 748.10 
22 small purple square  1369.54 1152.54 
23 large blue square  673.38 1094.38 
24 large red square  781.38 935.38 
25 medium purple cross  1532.62 283.62 
26 medium purple semi-circle  651.14 551.14 
27 medium red semi-circle  141.14 150.14 
28 medium red circle  558.17 669.17 
29 small blue circle  1291.59 1097.59 
30 small green semi-circle  1296.08 535.08 
31 small purple semi-circle  737.08 40.08 
32 small yellow cross  332.32 777.32 
33 small blue triangle  1343.24 847.24 
34 large purple square  733.38 184.38 
35 medium green semi-circle  1043.14 96.14 
36 small purple cross  993.32 456.32 
37 large red cross  1480.10 1087.10 
38 small purple triangle  1559.24 42.24 
39 small blue square  1558.54 148.54 
40 small yellow square  1318.54 735.54 
41 medium yellow square  956.07 850.07 
42 small yellow semi-circle  50.08 1134.08 
43 large purple circle  475.56 1049.56 
44 medium green triangle  921.47 292.47 
45 large purple cross  1171.10 1119.10 
46 medium purple circle  1461.17 815.17 
47 medium yellow circle  1524.17 904.17 
48 small green cross  867.32 794.32 
49 large blue triangle  109.85 403.85 
50 small yellow triangle  174.24 41.24 
51 medium blue circle  1304.17 131.17 
52 large red triangle  1151.85 467.85 
53 small red semi-circle  1112.08 643.08 
54 medium blue semi-circle  243.14 853.14 
55 large purple triangle  465.85 847.85 
56 large yellow square  1181.38 786.38 
57 large green square  379.38 635.38 
58 small green triangle  72.24 239.24 
59 small green square  457.54 90.54 
60 medium blue square  1498.07 470.07 
61 medium red square  891.07 143.07 
62 small red circle  1235.59 922.59 
63 medium blue triangle  71.47 1000.47 
64 small red square  995.54 194.54 
65 large green semi-circle  912.26 1079.26 
66 medium green square  1264.07 644.07 
67 medium yellow semi-circle  443.14 210.14 
68 small blue cross  256.32 50.32 
69 small green circle  1133.59 149.59 
70 medium red cross  559.62 59.62 
71 medium yellow triangle  619.47 934.47 
72 large yellow circle  1346.56 987.56 
73 medium red triangle  1088.47 965.47 
74 large green triangle  588.85 387.85 
75 small red triangle  906.24 406.24 

103
24
01 large blue cross  583.10 682.10 
02 small red cross  216.32 696.32 
03 small red circle  1547.59 618.59 
04 large green cross  681.10 152.10 
05 small blue cross  637.32 411.32 
06 small yellow semi-circle  92.08 48.08 
07 medium purple cross  539.62 66.62 
08 medium purple semi-circle  1056.14 689.14 
09 small red square  467.54 163.54 
10 medium red circle  652.17 1008.17 
11 small blue semi-circle  861.08 746.08 
12 medium blue triangle  134.47 441.47 
13 small red triangle  258.24 915.24 
14 medium red cross  1468.62 928.62 
15 small red semi-circle  1328.08 892.08 
16 medium green square  67.07 1024.07 
17 small purple square  50.54 356.54 
18 medium yellow circle  1343.17 554.17 
19 large purple cross  1316.10 84.10 
20 medium blue square  386.07 69.07 
21 medium yellow cross  1478.62 503.62 
22 small green cross  380.32 403.32 
23 large blue semi-circle  128.26 832.26 
24 small blue square  1245.54 469.54 
25 large blue triangle  1317.85 1052.85 
26 small green triangle  42.24 1141.24 
27 medium purple triangle  1216.47 756.47 
28 medium blue semi-circle  901.14 67.14 
29 medium yellow semi-circle  207.14 75.14 
30 medium green triangle  1504.47 1087.47 
31 large red cross  1100.10 1077.10 
32 medium yellow triangle  1076.47 475.47 
33 medium green semi-circle  551.14 253.14 
34 small yellow circle  757.59 286.59 
35 large yellow circle  382.56 947.56 
36 large green circle  1349.56 416.56 
37 small green square  666.54 487.54 
38 large blue square  1152.38 910.38 
39 small blue circle  572.59 870.59 
40 small purple cross  684.32 314.32 
41 small blue triangle  1201.24 152.24 
42 large green triangle  737.85 852.85 
43 small green circle  284.59 145.59 
44 medium red triangle  831.47 190.47 
45 large green square  404.38 740.38 
46 small green semi-circle  1030.08 219.08 
47 large red semi-circle  899.26 593.26 
48 large blue circle  1169.56 585.56 
49 large red triangle  320.85 559.85 
50 large yellow cross  963.10 340.10 
51 small yellow square  519.54 1068.54 
52 medium yellow square  260.07 388.07 
53 large purple semi-circle  945.26 899.26 
54 medium blue circle  1405.17 240.17 
55 large purple triangle  236.85 1067.85 
56 large green semi-circle  1435.26 737.26 
57 small purple semi-circle  783.08 1015.08 
58 small purple circle  271.59 826.59 
59 medium purple circle  729.17 593.17 
60 medium red square  1537.07 375.07 
61 large purple circle  1098.56 83.56 
62 large yellow triangle  1192.85 303.85 
63 medium red semi-circle  1483.14 143.14 
64 small purple triangle  1559.24 251.24 
65 medium green circle  443.17 1138.17 
66 medium green cross  520.62 964.62 
67 medium purple square  613.07 1127.07 
68 large yellow square  131.38 599.38 
69 small yellow triangle  472.24 862.24 
70 large yellow semi-circle  145.26 244.26 
71 medium blue cross  825.62 1109.62 
72 large red square  500.38 477.38 
73 large purple square  778.38 422.38 
74 small yellow cross  1006.32 1163.32 
75 large red circle  388.56 259.56 

104
9
01 medium red semi-circle  659.14 755.14 
02 medium blue square  97.07 136.07 
03 large green cross  1111.10 740.10 
04 large green triangle  1411.85 128.85 
05 large green semi-circle  1186.26 453.26 
06 large purple circle  403.56 384.56 
07 medium red cross  1027.62 1077.62 
08 medium purple semi-circle  108.14 644.14 
09 medium green triangle  427.47 71.47 
10 large yellow circle  571.56 78.56 
11 large purple semi-circle  436.26 633.26 
12 medium green semi-circle  1529.14 622.14 
13 small yellow square  551.54 1063.54 
14 medium yellow cross  1166.62 86.62 
15 large purple triangle  1405.85 361.85 
16 large purple cross  1010.10 123.10 
17 medium blue triangle  1362.47 533.47 
18 small blue semi-circle  1556.08 948.08 
19 medium green circle  576.17 217.17 
20 large green square  724.38 184.38 
21 medium purple cross  1369.62 954.62 
22 medium yellow triangle  1057.47 584.47 
23 medium purple triangle  278.47 294.47 
24 large blue semi-circle  949.26 332.26 
25 small purple square  268.54 1158.54 
26 small green semi-circle  793.08 337.08 
27 small blue circle  521.59 302.59 
28 small red circle  1530.59 216.59 
29 large green circle  852.56 1088.56 
30 small green cross  1101.32 230.32 
31 medium green square  868.07 757.07 
32 small green square  498.54 1151.54 
33 small blue cross  431.32 210.32 
34 small green circle  1533.59 295.59 
35 small red triangle  1282.24 50.24 
36 small yellow cross  296.32 725.32 
37 large red triangle  1484.85 1085.85 
38 small green triangle  49.24 1007.24 
39 large red semi-circle  640.26 484.26 
40 small red square  807.54 65.54 
41 large blue cross  1321.10 791.10 
42 medium purple square  649.07 1105.07 
43 medium red circle  725.17 648.17 
44 small blue triangle  672.24 988.24 
45 small yellow triangle  1124.24 313.24 
46 small yellow circle  663.59 305.59 
47 medium yellow semi-circle  1210.14 909.14 
48 large yellow triangle  381.85 1055.85 
49 large purple square  529.38 901.38 
50 small yellow semi-circle  1104.08 1154.08 
51 large blue triangle  1003.85 901.85 
52 medium yellow square  238.07 629.07 
53 medium blue semi-circle  253.14 837.14 
54 small purple triangle  165.24 310.24 
55 medium blue circle  62.17 260.17 
56 medium red square  1246.07 631.07 
57 medium blue cross  1510.62 799.62 
58 large yellow cross  760.10 870.10 
59 large yellow semi-circle  204.26 455.26 
60 large red cross  183.10 973.10 
61 small purple semi-circle  42.08 455.08 
62 small red semi-circle  612.08 635.08 
63 large red square  1241.38 1073.38 
64 large red circle  1237.56 213.56 
65 medium yellow circle  1480.17 511.17 
66 large yellow square  279.38 132.38 
67 small red cross  886.32 106.32 
68 medium red triangle  392.47 817.47 
69 small blue square  744.54 1142.54 
70 medium green cross  1425.62 694.62 
71 large blue circle  78.56 815.56 
72 large blue square  873.38 552.38 
73 small purple circle  834.59 424.59 
74 medium purple circle  163.17 1147.17 
75 small purple cross  1352.32 1147.32 

105
24
01 small yellow cross  880.32 988.32 
02 large blue semi-circle  953.26 327.26 
03 medium purple circle  1030.17 632.17 
04 small purple triangle  220.24 458.24 
05 large green semi-circle  108.26 952.26 
06 small yellow triangle  335.24 659.24 
07 medium red triangle  71.47 737.47 
08 small yellow square  658.54 869.54 
09 small purple circle  1547.59 843.59 
10 small blue square  361.54 814.54 
11 medium purple semi-circle  462.14 711.14 
12 medium green square  157.07 579.07 
13 small red circle  1249.59 216.59 
